0 0.005
1 1.60772
2 2.89358
3 4.1366
4 5.33678
5 6.49411
6 7.60863
7 8.68029
8 9.7089
9 10.6951
10 11.6382
11 12.5381
12 13.3948
13 14.2088
14 14.98
15 15.7093
16 16.396
17 17.0384
18 17.6388
19 18.1962
20 18.7115
21 19.1828
22 19.6101
23 19.9966
24 20.3385
25 20.636
26 20.8949
27 21.1077
28 21.2797
29 21.405
30 21.4925
31 21.5352
32 21.5364
33 21.4908
34 21.4056
35 21.2795
36 21.1065
37 20.8938
38 20.6367
39 20.3364
40 19.9925
41 19.6089
42 19.1813
43 18.7097
44 18.1948
45 17.6374
46 17.0384
47 16.395
48 15.7093
49 14.9809
50 14.2093
51 13.3942
52 12.5365
53 11.6361
54 10.6934
55 9.70785
56 8.6794
57 7.60796
58 6.49362
59 5.33644
60 4.13636
61 2.89343
62 1.60765
63 0.005
